INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
REPNES2,BREWED COFFEE,BREWED COFFEE,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPNES3,CAFFE LATTE,CAFFE LATTE,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPNES4,CAPPUCINO,CAPPUCINO,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPPREM3,BIGG TEES FEMALE,TEES FEMALE,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPREM4,BIGG TEES MALE,TEES MALE,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPPREM5,BIGGS MUG,BIGGS MUG,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPPREM6,BIGGS TUMBLER,BIGGS TUMBLER,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPPREM7,BIGGS UMBRELLA,BIGGS UMBRELLA,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPPREM15,PRESIGE CARD PROMO,PRESIGE PROMO,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPPREM20,UMBRELLA PROMO,UMBRELLA PROMO,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
"REPP""13","P""IUM MUG","P""IUM MUG",16,0.000,PC,12.000,0.000,9.330000,1,SMNAG
"REPP""14","P""IUM T-SHIRT","P"" T-SHIRT",16,0.000,PC,12.000,0.000,9.330000,1,SMNAG
REPYOG6,MINI YOGHURT,MINI YOGHURT,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPYOG8,MANGO,MANGO,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPYOG10,KRAFT OREO,KRAFT OREO,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPYOG14,ALMOND CLUSTER,ALMOND CLUSTER,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPUP1,ATCHARA TO COLESLAW,TO COLESLAW,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPUP2,ATCHRA TO MEDLEY,ATCHRA TO MEDL,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPUP3,FFC TO HC,FLOWING TO HOT,16,0.000,PC,12.000,0.000,9.330000,1,SMNAG
REPUP4,GARLIC TO JAVA,GARLIC TO JAVA,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPUP7,PLAIN TO FRIED,PLAIN TO FRIED,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPUP8,PLAIN TO JAVA,PLAIN TO JAVA,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPUP9,TO CAJUN,TO CAJUN,16,0.000,PC,12.000,0.000,9.330000,1,SMNAG
REPKPM1,AMAZING KEBAB,AMAZING KEBAB,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPKPM2,BIGG SPAGHETI,BIGG SPAGHETI,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBRK7,FRANKS N EGG,FRANKS N EGG,16,0.000,PC,12.000,0.000,9.330000,1,SMNAG
REPBRK12,GRANDSLAM BREAKFAST,GRANDSLAM BREA,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBEV18,ROYAL,ROYAL,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPXTR26,FRIED EGG,FRIED EGG,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPXTR37,JAVA RICE,JAVA RICE,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
CLM11,TUNA SALPICAO,TUNA SALPICAO,2,367.000,PC,12.000,15.960,9.333333,1,SMNAG
REPBS1,CLASSIC BURGER,CLASSIC BURGER,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBS2,CHEESY BURGER,CHEESY BURGER,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBS3,BACON BURGER,BACON BURGER,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBS7,EXTREME SUPREME BURGER,EXTREME SUPREM,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBS8,CHUNKY CHICKEN,CHUNKY CHICKEN,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBS9,TOWER BURGER,TOWER BURGER,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBS10,PIZZA BREAD,PIZZA BREAD,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBS11,EXTREME PLATTER,EXTREME PLATTE,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPBS4,TUNA SANDWICH,TUNA SANDWICH,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPPRM4,PRMIUM TSHIRT,PRMIUM TSHIRT,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
CHM26,4PCS CRISPY CHICKEN,4 CRISPY,1,349.000,PC,12.000,37.390,9.330000,1,SMNAG
CHM27,2PCS PLAIN RICE,2 PLAIN RICE,1,0.000,PC,12.000,0.000,9.333333,1,SMNAG
CHM28,2PCS ORIENTAL SALAD,2 ORIENTL,1,0.000,PC,12.000,0.000,9.333333,1,SMNAG
CHM29,2PCS RED COLESLAW,2 RED COLE,1,0.000,PC,12.000,0.000,9.333333,1,SMNAG
REPCHM26,4PCS CRISPY CHICKEN,4PCS CRISPY,16,0.000,PC,12.000,0.000,9.333333,1,SMNAG
2,BREAST,BREAST,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
3,LEG,LEG,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
4,WING,WING,30,0.000,PC,12.000,0.000,9.330000,1,SMNAG
5,BREAST AND WING,BREAST N WING,30,0.000,PC,12.000,0.000,9.330000,1,SMNAG
6,BREAST AND THIGH,BREAST AND THI,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
7,BREAST AND LEG,BREAST AND LEG,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
8,LEG AND THIGH,LEG AND THIGH,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
9,LEG AND WING,LEG AND WING,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
12,WING AND LEG,WING AND LEG,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
13,WING AND BREAST,WING AND BREAS,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
14,NOT WING,NOT WING,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
15,NOT LEG,NOT LEG,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
16,NOT THIGH,NOT THIGH,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
17,NOT BREAST,NOT BREAST,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
18,TOASTED,TOASTED,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
19,NOT TOASTED,NOT TOASTED,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
20,NO SALT,NO SALT,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
21,MORE SALT,MORE SALT,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
22,LESS SUGAR,LESS SUGAR,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
23,LESS CREAM,LESS CREAM,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
24,NO CREAM,NO CREAM,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
25,NO SUGAR,NO SUGAR,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
26,PA RUSH,PA RUSH,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
27,SCRAMBLE EGG,SCRAMBLE EGG,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
28,WELLDONE,WELLDONE,30,0.000,PC,12.000,0.000,9.333333,1,SMNAG
