CODE,DESC,TYPE,VALUE,POS,BRANCH,TERM_ID,CATEG_ID,VERNO,FULL
PWD,20% PWD DISCOUNT,SUBTOTAL PERCENT,20,,,, ,0, PWD 20% PWD DISCOUNT SUBTOTAL PERCENT 20     
SC,20% SC DISCOUNT,SUBTOTAL PERCENT,20,,,, ,0, SC 20% SC DISCOUNT SUBTOTAL PERCENT 20     
