INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
MP36,SB SALSBUNDLE,SB SALSBUNDLE,32,73.000,PC,12.000,7.820,9.333333,1,EME
MP37,SB SNKBUNDLE,SB SNKBUNDLE,32,65.000,PC,12.000,6.960,9.333333,1,EME
MP38,SB BFSTBUNDLE,SB BFSTBUNDLE,32,74.000,PC,12.000,7.930,9.333333,1,EME
F1,GRAZING TABLE,GRAZING TABLE,29,5000.000,PC,12.000,535.710,9.333333,1,EME
F2,UNLI COFFEE,UNLI COFFEE,29,0.000,PC,12.000,0.000,9.333333,1,EME
F3,TWIN DELIGHT,TWIN DELIGHT,29,330.000,PC,12.000,35.360,9.333333,1,EME
F4,CLASSIC TWIST,CLASSIC TWIST,29,375.000,PC,12.000,40.180,9.333333,1,EME
F5,FAB FOUR FEAST,FAB FOUR FEAST,29,450.000,PC,12.000,48.210,9.333333,1,EME
F6,BUDDY'S CHOICE,BUDDY'S CHOICE,29,425.000,PC,12.000,45.540,9.333333,1,EME
F7,LOVE ME TENDER,LOVE ME TENDER,29,489.000,PC,12.000,52.390,9.333333,1,EME
F8,RHAPSODY IN B,RHAPSODY IN B,29,525.000,PC,12.000,56.250,9.333333,1,EME
F9,ELVIS'S FAVORITE,ELVIS'S FAVORI,29,725.000,PC,12.000,77.680,9.333333,1,EME
MP39,SALSBUNDLE,SALSBUNDLE,32,999.000,PC,12.000,107.040,9.333333,1,EME
MP40,SNKBUNDLE,SNKBUNDLE,32,699.000,PC,12.000,74.890,9.333333,1,EME
MP41,BFSTBUNDLE,BFSTBUNDLE,32,899.000,PC,12.000,96.320,9.333333,1,EME
MP42,SB SALSBUNDLE,SB SALSBUNDLE,32,73.000,PC,12.000,7.820,9.330000,1,EME
MP43,SB SNKBUNDLE,SB SNKBUNDLE,32,65.000,PC,12.000,6.960,9.333333,1,EME
MP44,SB BFSTBUNDLE,SB BFSTBUNDLE,32,74.000,PC,12.000,7.930,9.333333,1,EME
BL128,TB IT,TB IT,23,59.000,PC,12.000,6.320,9.333333,1,EME
BL129,TB MGS 99,TB MGS 99,23,99.000,PC,12.000,10.610,9.333333,1,EME
BL130,SB FREE GOTO PL,SB FREE GOTO P,23,89.000,PC,12.000,9.540,9.333333,1,EME
BL131,SB FREE NENAS,SB FREE NENAS,23,169.000,PC,12.000,18.110,9.333333,1,EME
BL132,SB MGS 99,SB MGS 99,23,40.000,PC,12.000,4.290,9.333333,1,EME
BEV15,SWEET BLACK,SWEET BLACK,7,109.000,PC,12.000,11.680,9.330000,1,EME
BEV16,SIG ICED COFFEE,SIG ICED COFFE,7,129.000,PC,12.000,13.820,9.330000,1,EME
BEV17,CARA MACHIATO,CARA MACHIATO,7,169.000,PC,12.000,18.110,9.330000,1,EME
BEV18,EXP SWEET SYRUP,EXP SWEET SYRU,7,30.000,PC,12.000,3.210,9.330000,1,EME
BEV19,EXP CARA SYRUP,EXP CARA SYRUP,7,40.000,PC,12.000,4.290,9.330000,1,EME
BEV20,EXP CARA SAUCE,EXP CARA SAUCE,7,40.000,PC,12.000,4.290,9.333333,1,EME
DEL176,SWEET BLACK,SWEET BLACK,41,159.000,PC,12.000,17.040,9.330000,1,EME
DEL177,SIG ICED COFFEE,SIG ICED COFFE,41,189.000,PC,12.000,20.250,9.330000,1,EME
DEL178,CARA MACHIATO,CARA MACHIATO,41,219.000,PC,12.000,23.460,9.330000,1,EME
DEL179,EXP SWEET SYRUP,EXP SWEET SYRU,41,45.000,PC,12.000,4.820,9.333333,1,EME
DEL180,EXP CARA SYRUP,EXP CARA SYRUP,41,55.000,PC,12.000,5.890,9.333333,1,EME
DEL181,EXP CARA SAUCE,EXP CARA SAUCE,41,55.000,PC,12.000,5.890,9.333333,1,EME
MP45,FREE CBSSPAG,FREE CBSSPAG,32,0.000,PC,12.000,0.000,9.333333,1,EME
MP46,SB CBSSPAG,SB CBSSPAG,32,99.000,PC,12.000,10.610,9.333333,1,EME
BS12,PRIDE BURGER,PRIDE BURGER,,219.000,PC,12.000,23.460,9.333333,1,EME
DEL182,PRIDE BURGER,PRIDE BURGER,41,239.000,PC,12.000,25.610,9.333333,1,EME
MP47,1PC CHIX  PJ,1PC CHIX  PJ,32,0.000,PC,12.000,0.000,9.333333,1,EME
MP48,BBRIBS  PJ,BBRIBS  PJ,32,0.000,PC,12.000,0.000,9.333333,1,EME
BL22,FREE NENAS HARVEST,FREE NENAS HAR,23,0.000,PC,12.000,0.000,9.333333,1,EME
BL133,PRIDE BUNDLE,PRIDE BUNDLE,23,379.000,PC,12.000,40.610,9.333333,1,EME
BL134,TB SIGCOFI 99,TB SIGCOFI 99,23,99.000,PC,12.000,10.610,9.333333,1,EME
BL135,SB PRIDE BUNDLE,SB PRIDE BUNDL,23,97.000,PC,12.000,10.390,9.333333,1,EME
BL136,SB SIGCOFI 99,SB SIGCOFI 99,23,30.000,PC,12.000,3.210,9.333333,1,EME
MP49,GRADRIBS50,GRADRIBS50,32,224.500,PC,12.000,24.050,9.333333,1,EME
MP50,SB GRADRIBS50,SB GRADRIBS50,32,224.500,PC,12.000,24.050,9.333333,1,EME
FPC1,GRAHAM SHAKE,GRAHAM SHAKE,31,179.000,PC,12.000,17.040,9.333333,1,EME
FPC2,RIPE MANGO SHAKE,RIPE MANGO SHA,31,179.000,PC,12.000,17.040,9.333333,1,EME
FPC3,CNC SHAKE,CNC SHAKE,31,179.000,PC,12.000,17.040,9.333333,1,EME
FPC4,PEPSI CAN,PEPSI CAN,31,119.000,PC,12.000,9.540,9.333333,1,EME
FPC5,PEPSI BLACK,PEPSI BLACK,31,119.000,PC,12.000,9.540,9.333333,1,EME
FPC6,MIRINDA CAN,MIRINDA CAN,31,119.000,PC,12.000,9.540,9.333333,1,EME
FPC7,SEVEN UP CAN,SEVEN UP CAN,31,119.000,PC,12.000,9.540,9.333333,1,EME
FPC8,ROOT BEER CAN,ROOT BEER CAN,31,119.000,PC,12.000,9.540,9.333333,1,EME
FPC9,MT.DEW CAN,MT.DEW CAN,31,119.000,PC,12.000,9.540,9.333333,1,EME
FPC10,HOTCHOCO,HOTCHOCO,31,109.000,PC,12.000,11.680,9.330000,1,EME
FPC11,BREWED COFFEE,BREWED COFFEE,31,129.000,PC,12.000,13.820,9.333333,1,EME
FPC12,NES BREWED COFI,NES BREWED COF,31,189.000,PC,12.000,20.250,9.333333,1,EME
FPC13,SIG ICED COFI,SIG ICED COFI,31,189.000,PC,12.000,20.250,9.333333,1,EME
FPC14,SWT BLK COFI,SWT BLK COFI,31,159.000,PC,12.000,17.040,9.330000,1,EME
FPC15,YOUR CHOICE,YOUR CHOICE,31,389.000,PC,12.000,40.610,9.333333,1,EME
FPC16,B1T1 SIGCOFI,B1T1 SIGCOFI,31,299.000,PC,12.000,32.040,9.333333,1,EME
FPC17,B1T1 SWTBLK,B1T1 SWTBLK,31,249.000,PC,12.000,26.680,9.333333,1,EME
FPC18,B1T1 CARAMACHI,B1T1 CARAMACHI,31,410.000,PC,12.000,43.930,9.333333,1,EME
FPC19,SIGCOFI,SIGCOFI,31,0.000,PC,12.000,0.000,9.330000,1,EME
MP51,FREE STICKER,FREE STICKER,32,0.000,PC,12.000,0.000,9.333333,1,EME
FPC20,SWTBLK,SWTBLK,31,0.000,PC,12.000,0.000,9.333333,1,EME
FPC21,CARAMACHI,CARAMACHI,31,0.000,PC,12.000,0.000,9.333333,1,EME
FPC22,CARA MACHIATO,CARA MACHIATO,31,219.000,PC,12.000,24.540,9.333333,1,EME
FPC23,HD SIGCOFI B1G1,HD SIGCOFI B1G,31,184.000,PC,12.000,19.710,9.333333,1,EME
FPC24,HD SWTBLK B1G1,HD SWTBLK B1G1,31,169.000,PC,12.000,18.110,9.333333,1,EME
FPC25,HD CARA  B1G1,HD CARA  B1G1,31,287.000,PC,12.000,30.750,9.333333,1,EME
UP21,TO CHEESY PATTY,TO CHEESY PATT,19,20.000,PC,12.000,2.140,9.333333,1,EME
FPC26,CARROTCK SIGCOFI,CARROTCK SIGCO,31,299.000,PC,12.000,32.040,9.333333,1,EME
FPC27,PSYCHOCO SIGCOFI,PSYCHOCO SIGCO,31,289.000,PC,12.000,30.960,9.333333,1,EME
FPC28,BERIESCK SIGCOFI,BERIESCK SIGCO,31,289.000,PC,12.000,30.960,9.333333,1,EME
DEL183,SPAG PB PJ,SPAG PB PJ,41,239.000,PC,12.000,25.610,9.330000,1,EME
DEL184,TUNASND PJ,TUNASND PJ,41,219.000,PC,12.000,23.460,9.333333,1,EME
DEL185,1PCBIGGSCHX PJ,1PCBIGGSCHX PJ,41,239.000,PC,12.000,25.610,9.333333,1,EME
DEL186,CHXSALIS PJ,CHXSALIS PJ,41,349.000,PC,12.000,37.390,9.333333,1,EME
DEL187,PRIDEBRG PJ,PRIDEBRG PJ,41,269.000,PC,12.000,28.820,9.333333,1,EME
FPC29,XTRM PLTR,XTRM PLTR,31,309.000,PC,12.000,32.040,9.333333,1,EME
FPC30,FRENCH FRIES,FRENCH FRIES,31,109.000,PC,12.000,11.680,9.333333,1,EME
FPC31,TUNA SANDWICH,TUNA SANDWICH,31,179.000,PC,12.000,17.040,9.333333,1,EME
FPC32,PIZZA BREAD,PIZZA BREAD,31,89.000,PC,12.000,11.680,9.333333,1,EME
FPC33,CLASSIC BURG,CLASSIC BURG,31,144.000,PC,12.000,12.750,9.333333,1,EME
FPC34,CHEESY BURG,CHEESY BURG,31,162.000,PC,12.000,15.960,9.333333,1,EME
FPC35,BACON BURG,BACON BURG,31,184.000,PC,12.000,17.040,9.333333,1,EME
FPC36,XTRM SUPRM,XTRM SUPRM,31,289.000,PC,12.000,28.820,9.333333,1,EME
FPC37,SPAG,SPAG,31,164.000,PC,12.000,17.040,9.333333,1,EME
FPC38,CARBONARA,CARBONARA,31,184.000,PC,12.000,17.570,9.333333,1,EME
FPC39,BACMACHIZ,BACMACHIZ,31,169.000,PC,12.000,17.040,9.333333,1,EME
FPC40,MAC SALAD,MAC SALAD,31,164.000,PC,12.000,17.040,9.333333,1,EME
