INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
BL53,TB FREE IT,TB FREE IT,55,0.000,PC,12.000,0.000,9.333333,1,OLA
BL54,TB NENA 99,TB NENA 99,55,99.000,PC,12.000,10.610,9.333333,1,OLA
BL55,SB COFFEE 114,SB COFFEE 114,55,114.000,PC,12.000,12.210,9.333333,1,OLA
BL56,SB IT 79,SB IT 79,55,79.000,PC,12.000,8.460,9.333333,1,OLA
BL57,SB NENA 49,SB NENA 49,55,49.000,PC,12.000,5.250,9.333333,1,OLA
MP104,CRABNCORN PJ,CRABNCORN PJ,29,49.000,PC,12.000,5.250,9.333333,1,OLA
MP105,CRABNCORN PJ,CRABNCORN PJ,29,89.000,PC,12.000,9.540,9.333333,1,OLA
SL15,TEXMEX KANSAS BBQ RIBS,TEXMEX KANSAS,38,449.000,PC,12.000,48.110,9.333333,1,OLA
SL16,TEXMEX CAROLINE BBQ RIBS,TEXMEX CAROLIN,38,449.000,PC,12.000,48.110,9.333333,1,OLA
SL17,TEXMEX CHIPOTLE BBQ RIBS,TEXMEX CHIPOTL,38,449.000,PC,12.000,48.110,9.333333,1,OLA
UP21,TO HERB RICE,TO HERB RICE,19,30.000,PC,12.000,3.210,9.333333,1,OLA
XTR56,HERB RICE,HERB RICE,8,45.000,PC,12.000,4.820,9.333333,1,OLA
SID11,TS TROPICAL SLAW,TS TROPICAL SL,10,59.000,PC,12.000,6.320,9.330000,1,OLA
PST8,BACON MAC N CHEESE,BACON MAC N CH,4,129.000,PC,12.000,10.610,9.333333,1,OLA
ADD5,KANSAS SAUCE,KANSAS SAUCE,35,20.000,PC,12.000,2.140,9.333333,1,OLA
ADD6,CAROLINE SAUCE,CAROLINE SAUCE,35,20.000,PC,12.000,2.140,9.333333,1,OLA
ADD7,CHIPOTLE SAUCE,CHIPOTLE SAUCE,35,20.000,PC,12.000,2.140,9.333333,1,OLA
ADD8,BUTTER SAUCE,BUTTER SAUCE,35,20.000,PC,12.000,2.140,9.333333,1,OLA
SL18,TO PLAIN RICE,TO PLAIN RICE,38,0.000,PC,12.000,0.000,9.333333,1,OLA
SL19,TO GARLIC RICE,TO GARLIC RICE,38,0.000,PC,12.000,0.000,9.333333,1,OLA
SL20,TO JAVA RICE,TO JAVA RICE,38,0.000,PC,12.000,0.000,9.333333,1,OLA
MP106,BREWED COFFEE,BREWED COFFEE,29,29.000,PC,12.000,3.110,9.333333,1,OLA
DEL156,TEXMEX KANSAS BBQ RIBS,TEXMEX KANSAS,52,499.000,PC,12.000,53.460,9.333333,1,OLA
DEL157,TEXMEX CAROLINE BBQ RIBS,TEXMEX CAROLIN,52,499.000,PC,12.000,53.460,9.333333,1,OLA
DEL158,TEXMEX CHIPOTLE BBQ RIBS,TEXMEX CHIPOTL,52,499.000,PC,12.000,53.460,9.333333,1,OLA
DEL159,BACON MAC N CHEESE,BACONMAC N CHS,52,169.000,PC,12.000,14.890,9.330000,1,OLA
MP107,SHOCKTEXMEX,SHOCKTEXMEX,29,0.000,PC,12.000,0.000,9.333333,1,OLA
MP108,SHOCKTEXMEX449,SHOCKTEXMEX449,29,449.000,PC,12.000,48.110,9.333333,1,OLA
MP109,FREEMGSHAKE,FREEMGSHAKE,29,0.000,PC,12.000,0.000,9.333333,1,OLA
MP110,FREEMGSHAKE139,FREEMGSHAKE139,29,139.000,PC,12.000,14.890,9.333333,1,OLA
BL58,FREE CRABNCORN,FREE CRABNCORN,55,0.000,PC,12.000,0.000,9.333333,1,OLA
