INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
ADD9,CAROLINE SAUCE,CAROLINE SAUCE,31,20.000,PC,12.000,2.140,9.333333,1,BMC
ADD10,CHIPOTLE SAUCE,CHIPOTLE SAUCE,31,20.000,PC,12.000,2.140,9.333333,1,BMC
ADD11,BUTTER SAUCE,BUTTER SAUCE,31,20.000,PC,12.000,2.140,9.333333,1,BMC
PP21,BIGG SAPG,BIGG SAPG,46,109.000,PC,12.000,11.680,9.333333,1,BMC
PP22,CHEESY BURGER,CHEESY BURGER,46,142.000,PC,12.000,11.680,9.333333,1,BMC
PP23,1PC BIGG FRIED CHICKEN,1PC BIGG FRIED,46,139.000,PC,12.000,14.890,9.333333,1,BMC
PP24,CHICKEN W SPAG,CHICKEN W SPAG,46,209.000,PC,12.000,22.390,9.333333,1,BMC
PP25,TENDELION TIPS,TENDELION TIPS,46,269.000,PC,12.000,28.820,9.333333,1,BMC
PP26,CHICKEN N KEBAB,CHICKEN N KEBA,46,279.000,PC,12.000,29.890,9.333333,1,BMC
PP27,BIGG DEAL,BIGG DEAL,46,319.000,PC,12.000,34.180,9.333333,1,BMC
PP28,BABY BACK RIBS,BABY BACK RIBS,46,459.000,PC,12.000,49.180,9.333333,1,BMC
PP29,BIGG SPAGHETTI PAN,BIGG SPAGHETTI,46,1199.000,PC,12.000,128.460,9.333333,1,BMC
PP30,BACN N MAC CHEESE,BACN N MAC CHE,46,1199.000,PC,12.000,128.460,9.333333,1,BMC
PP31,BIGG CARBONARA PAN,BIGG CARBONARA,46,1199.000,PC,12.000,128.460,9.333333,1,BMC
PP32,1.5 PEPSI,1.5 PEPSI,46,0.000,PC,12.000,0.000,9.333333,1,BMC
BL63,TB UP COFFEE,TB UP COFFEE,7,0.000,PC,12.000,0.000,9.330000,1,BMC
BL64,TB FREE IT,TB FREE IT,7,0.000,PC,12.000,0.000,9.333333,1,BMC
BL65,TB NENA 99,TB NENA 99,7,99.000,PC,12.000,10.610,9.333333,1,BMC
BL66,SB COFFEE114,SB COFFEE114,7,114.000,PC,12.000,12.210,9.333333,1,BMC
BL67,SB IT 79,SB IT 79,7,79.000,PC,12.000,8.460,9.333333,1,BMC
BL68,SB NENA49,SB NENA49,7,49.000,PC,12.000,5.250,9.333333,1,BMC
MP128,TEXMEX KANSAS BBQ RIBS,TEXMEX KANSAS,2,224.000,PC,12.000,24.000,9.333333,1,BMC
MP129,TEXMEX CHIPOTLE BBQ RIBS,TEXMEX CHIPOTL,2,224.000,PC,12.000,24.000,9.333333,1,BMC
MP130,TEXMEX KANSAS BBQ RIBS,TEXMEX KANSAS,2,224.000,PC,12.000,24.000,9.333333,1,BMC
MP131,UNLIBREWED,UNLIBREWED,37,29.000,PC,12.000,3.110,9.333333,1,BMC
MP132,UNLIBREWED2 29,UNLIBREWED2 29,37,70.000,PC,12.000,7.500,9.333333,1,BMC
FP126,BACON MAC N CHEESE,BACON MAC N CH,5,169.000,PC,12.000,10.610,9.333333,1,BMC
FP127,TEXMEX KANSAS BBQ RIBS,TEXMEX KANSAS,5,499.000,PC,12.000,53.460,9.333333,1,BMC
FP128,TEXMEX CAROLINE BBQ RIBS,TEXMEX CAROLIN,5,499.000,PC,12.000,53.460,9.333333,1,BMC
FP129,TEXMEX CHIPOTLE BBQ RIBS,TEXMEX CHIPOTL,5,499.000,PC,12.000,53.460,9.333333,1,BMC
REP282,DAING NA BANGUS,DAING NA BANGU,28,0.000,PC,12.000,0.000,9.333333,1,BMC
MP33,SHOCKTEXMEX,SHOCKTEXMEX,37,0.000,PC,12.000,0.000,9.333333,1,BMC
MP134,SHOCKTEXMEX449,SHOCKTEXMEX449,37,449.000,PC,12.000,48.110,9.333333,1,BMC
PST12,BACON MAC N CHEESE,BACON MAC N CH,04,129.000,PC,12.000,10.610,9.333333,1,BMC
MP133,FREE MANGO SHAKE,FREE MANGO SHA,37,0.000,PC,12.000,0.000,9.333333,1,BMC
MP135,FREE MANGO SHAKE,FREE MANGO SHA,37,139.000,PC,12.000,14.890,9.333333,1,BMC
MP136,FREE MANGO SHAKE,FREE MANGO SHA,37,139.000,PC,12.000,14.890,9.333333,1,BMC
