PAY_CODE,PAY_DESC,METHOD,MAX_AMOUNT,POS,BRANCH
00001,CASH,0,0.000,1,AYALA-FRN
00002,CREDIT CARD,1,0.000,1,AYALA-FRN
00003,DEBIT,3,0.000,1,AYALA-FRN
1,FOOD PANDA,6,0.000,1,AYALA-FRN
2,PAYMAYA,6,0.000,1,AYALA-FRN
3,BIGGS LOYALTY,6,0.000,1,AYALA-FRN
4,BIGGS MONEY 100,2,100.000,1,AYALA-FRN
5,BIGGS MONEY 50,2,50.000,1,AYALA-FRN
6,CHARGE,6,0.000,1,AYALA-FRN
7,GC P100,2,100.000,1,AYALA-FRN
8,GC P50,2,50.000,1,AYALA-FRN
9,REPRESENTAION,0,0.000,1,AYALA-FRN
